title,rating,posterUrl,genre,cast,runtime
All the Money in the World,6.8,,Biography,Michelle Williams,132
Suburbicon,5.7,,Comedy,Matt Damon,105
The Wife,7.2,,Drama,Glenn Close,99
It Comes at Night,6.2,,Horror,Joel Edgerton,91
Despicable Me 3,6.3,,Animation,Steve Carell,89
Going in Style,6.6,,Comedy,Michael Caine,96
Downsizing,5.7,,Drama,Matt Damon,135
Before I Fall,6.5,,Drama,Zoey Deutch,98
Wonder Wheel,6.2,,Drama,Justin Timberlake,101
The Emoji Movie,3.3,,Animation,T.J. Miller,86
Ingrid Goes West,6.6,,Comedy,Aubrey Plaza,98
Unforgettable,5.1,,Drama,Rosario Dawson,100
Paddington 2,7.8,,Animation,Ben Whishaw,103
Girls Trip,6.2,,Adventure,Regina Hall,122
Loving Vincent,7.8,,Animation,Douglas Booth,94
The Space Between Us,6.4,,Drama,Gary Oldman,120
Double Lover,6.2,,Drama,Marine Vacth,107
The Mountain Between Us,6.4,,Action,Kate Winslet,112
T2 Trainspotting,7.2,,Drama,Ewan McGregor,117
The Square,7.2,,Comedy,Claes Bang,151
The Hero,6.5,,Drama,Sam Elliott,96
Battle of the Sexes,6.7,,Biography,Emma Stone,121
God's Own Country,7.7,,Drama,Josh O'Connor,104
The Book of Henry,6.6,,Crime,Naomi Watts,105
Borg vs. McEnroe,6.9,,Biography,Sverrir Gudnason,107
Daddy's Home 2,6,,Comedy,Will Ferrell,100
Mark Felt: The Man Who Brought Down the White House,6.4,,Biography,Liam Neeson,103
A Dog's Purpose,7.2,,Adventure,Josh Gad,100
Columbus,7.2,,Drama,John Cho,100
The Little Hours,5.8,,Comedy,Alison Brie,90
The Shack,6.3,,Drama,Sam Worthington,132
Thelma,7,,Drama,Eili Harboe,116
Flatliners,5.2,,Drama,Elliot Page,109
Rings,4.5,,Drama,Matilda Anna Ingrid Lutz,102
I Do... Until I Don't,4.1,,Comedy,Lake Bell,106
Professor Marston & the Wonder Women,7.1,,Biography,Luke Evans,108
The Rider,7.5,,Drama,Brady Jandreau,104
First Reformed,7.1,,Drama,Ethan Hawke,113
The Lego Ninjago Movie,6,,Animation,Jackie Chan,101
My Friend Dahmer,6.2,,Biography,Ross Lynch,107
The House,5.6,,Comedy,Will Ferrell,88
Marrowbone,6.7,,Drama,George MacKay,110
The Zookeeper's Wife,7,,Biography,Jessica Chastain,127
Flower,6,,Comedy,Zoey Deutch,90
Song to Song,5.7,,Drama,Ryan Gosling,129
Detroit,7.3,,Crime,John Boyega,143
Last Flag Flying,6.9,,Comedy,Bryan Cranston,125
Megan Leavey,7.1,,Biography,Kate Mara,116
All Eyez on Me,5.9,,Biography,Demetrius Shipp Jr.,139
Sleepless,5.6,,Action,Jamie Foxx,95
The Captain,7.4,,Drama,Max Hubacher,118
Tulip Fever,6.2,,Drama,Alicia Vikander,105
Stronger,6.9,,Biography,Jake Gyllenhaal,119
Jeepers Creepers III,3.9,,Horror,Stan Shaw,100
My Cousin Rachel,6,,Drama,Rachel Weisz,106
Baahubali 2: The Conclusion,8.2,,Action,Prabhas,167
Breathe,7.2,,Biography,Andrew Garfield,118
The Only Living Boy in New York,6.3,,Drama,Callum Turner,89
A Taxi Driver,7.9,,Action,Kang-ho Song,137
Brad's Status,6.5,,Comedy,Ben Stiller,102
American Satan,5.7,,Drama,Andy Biersack,111
Smurfs: The Lost Village,6,,Animation,Demi Lovato,90
Gook,7,,Drama,Simone Baker,94
Wonderstruck,6.2,,Adventure,Oakes Fegley,116
In the Fade,7.1,,Crime,Numan Acar,106
Snatched,4.5,,Action,Amy Schumer,90
"Roman J. Israel, Esq.",6.5,,Crime,Denzel Washington,122
Victoria & Abdul,6.8,,Biography,Judi Dench,111
Fist Fight,5.6,,Comedy,Ice Cube,91
The Wall,6.2,,Action,Aaron Taylor-Johnson,88
How to Be a Latin Lover,6,,Comedy,Eugenio Derbez,115
The Leisure Seeker,6.7,,Adventure,Helen Mirren,112
Same Kind of Different as Me,6.6,,Biography,Greg Kinnear,119
My Little Pony: The Movie,6.1,,Animation,Emily Blunt,99
Goodbye Christopher Robin,7.1,,Biography,Domhnall Gleeson,107
Table 19,5.8,,Comedy,Anna Kendrick,87
Father Figures,5.5,,Comedy,Owen Wilson,113
Kidnap,5.9,,Action,Halle Berry,95
Diary of a Wimpy Kid: The Long Haul,4.3,,Animation,Jason Drucker,91
Ghost Stories,6.4,,Drama,Samuel Bottomley,98
Churchill,6.1,,Biography,Brian Cox,105
Beach Rats,6.4,,Drama,Harris Dickinson,98
The Bookshop,6.5,,Drama,Emily Mortimer,113
Mary Shelley,6.5,,Biography,Elle Fanning,120
A Bad Moms Christmas,5.6,,Comedy,Mila Kunis,104
Loveless,7.6,,Drama,Maryana Spivak,127
Captain Underpants: The First Epic Movie,6.2,,Animation,Kevin Hart,89
Beatriz at Dinner,6,,Comedy,Salma Hayek,82
Wish Upon,5,,Drama,Joey King,90
Super Dark Times,6.6,,Crime,Owen Campbell,103
Blade of the Immortal,6.8,,Action,Takuya Kimura,140
Journey's End,6.7,,Drama,Paul Bettany,107
Godard Mon Amour,6.6,,Biography,Louis Garrel,107
Marshall,7.3,,Biography,Chadwick Boseman,118
BPM (Beats Per Minute),7.4,,Drama,Nahuel Pérez Biscayart,143
Lean on Pete,7.2,,Adventure,Charlie Plummer,121
Memoir of a Murderer,7.2,,Action,Sol Kyung-gu,118
Take Me,6.1,,Comedy,Pat Healy,83
The Last Movie Star,7,,Drama,Burt Reynolds,94
On Chesil Beach,6.3,,Drama,Billy Howle,110
Breath,6.7,,Adventure,Samson Coulter,115
The Villainess,6.7,,Action,Kim Ok-bin,124
How to Talk to Girls at Parties,5.7,,Comedy,Elle Fanning,102
Amityville: The Awakening,4.8,,Horror,Jennifer Jason Leigh,87
The Resurrection of Gavin Stone,6.3,,Comedy,Brett Dalton,91
The Bye Bye Man,4.2,,Drama,Douglas Smith,96
Along With the Gods: The Two Worlds,7.3,,Action,Ha Jung-woo,139
A Quiet Place,7.5,,Drama,Emily Blunt,90
Avengers: Infinity War,8.4,,Action,Robert Downey Jr.,149
Deadpool 2,7.7,,Action,Ryan Reynolds,119
Bohemian Rhapsody,7.9,,Biography,Rami Malek,134
Black Panther,7.3,,Action,Chadwick Boseman,134
Hereditary,7.3,,Drama,Toni Collette,127
A Simple Favor,6.8,,Comedy,Anna Kendrick,117
Aquaman,6.9,,Action,Jason Momoa,143
Ready Player One,7.4,,Action,Tye Sheridan,140
Spider-Man: Into the Spider-Verse,8.4,,Animation,Shameik Moore,117
Mission: Impossible - Fallout,7.7,,Action,Tom Cruise,147
Venom,6.7,,Action,Tom Hardy,112
Green Book,8.2,,Biography,Viggo Mortensen,130
Crazy Rich Asians,6.9,,Comedy,Constance Wu,120
Ant-Man and the Wasp,7,,Action,Paul Rudd,118
BlacKkKlansman,7.5,,Biography,John David Washington,135
The Predator,5.3,,Action,Boyd Holbrook,107
White Boy Rick,6.5,,Crime,Matthew McConaughey,111
Solo: A Star Wars Story,6.9,,Action,Alden Ehrenreich,135
Midnight Sun,6.6,,Drama,Bella Thorne,91
Under the Silver Lake,6.5,,Crime,Andrew Garfield,139
Den of Thieves,7,,Action,Gerard Butler,140
Annihilation,6.8,,Adventure,Natalie Portman,115
Red Sparrow,6.6,,Action,Jennifer Lawrence,140
A Star Is Born,7.6,,Drama,Lady Gaga,136
Mamma Mia! Here We Go Again,6.6,,Comedy,Lily James,114
Death Wish,6.3,,Action,Bruce Willis,107
Instant Family,7.3,,Comedy,Mark Wahlberg,118
Jurassic World: Fallen Kingdom,6.2,,Action,Chris Pratt,128
Eighth Grade,7.4,,Comedy,Elsie Fisher,93
Ocean's Eight,6.3,,Action,Sandra Bullock,110
Suspiria,6.7,,Fantasy,Chloë Grace Moretz,152
The Favourite,7.5,,Biography,Olivia Colman,119
The Meg,5.6,,Action,Jason Statham,113
Mandy,6.5,,Horror,Nicolas Cage,121
Sicario: Day of the Soldado,7.1,,Action,Benicio Del Toro,122
Fifty Shades Freed,4.5,,Drama,Dakota Johnson,105
Halloween,6.5,,Crime,Jamie Lee Curtis,106
Incredibles 2,7.6,,Animation,Craig T. Nelson,118
The First Purge,5.2,,Action,Y'lan Noel,97
The House That Jack Built,6.8,,Crime,Matt Dillon,152
Ophelia,6.6,,Drama,Daisy Ridley,106
The Nun,5.3,,Horror,Demián Bichir,96
Charlie Says,5.9,,Biography,Hannah Murray,110
The Equalizer 2,6.7,,Action,Denzel Washington,121
Climax,7,,Drama,Sofia Boutella,97
The Commuter,6.3,,Action,Liam Neeson,104
Game Night,6.9,,Action,Jason Bateman,100
Red Joan,6.4,,Biography,Judi Dench,101
Tag,6.5,,Action,Jeremy Renner,100
The Hate U Give,7.5,,Crime,Amandla Stenberg,133
Bad Times at the El Royale,7.1,,Crime,Jeff Bridges,141
Isle of Dogs,7.9,,Animation,Bryan Cranston,101
Fantastic Beasts: The Crimes of Grindelwald,6.5,,Adventure,Eddie Redmayne,134
Hunter Killer,6.6,,Action,Gerard Butler,121
The Mule,7,,Crime,Clint Eastwood,116
The Clovehitch Killer,6.6,,Crime,Dylan McDermott,109
Robin Hood,5.3,,Action,Taron Egerton,116
Beautiful Boy,7.3,,Biography,Steve Carell,120
Capharnaüm,8.4,,Drama,Zain Al Rafeea,126
Adrift,6.6,,Action,Shailene Woodley,96
"Love, Simon",7.6,,Comedy,Nick Robinson,110
Mary Poppins Returns,6.7,,Comedy,Emily Blunt,130
