,movie_name,year,genre,Poster_url,director,cast,overview
627,Murder 2,2011,"Action, Crime, Drama",,Mohit Suri,"Emraan Hashmi, Jacqueline Fernandez, Prashant Narayanan, Sulagna Panigrahi",An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.
628,Luck by Chance,2009,Drama,,Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor, Dimple Kapadia","When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend."
629,Kaho Naa... Pyaar Hai,2000,"Action, Musical, Romance",,Rakesh Roshan,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil",A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.
630,All the Best: Fun Begins,2009,"Action, Comedy, Drama",,Rohit Shetty,"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Bipasha Basu",The unexpected arrival of his elder NRI brother and assorted characters complicates the life of a Goan male.
631,Band Baaja Baaraat,2010,"Comedy, Drama, Romance",,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Ranjit Batra, Satender Bhardwaj","Shruti and Bittoo become partners in their very own ""Wedding planning ka bijness"" in Delhi and in the process discover friendship, love and one another."
632,Baazaar,2018,"Crime, Drama, Thriller",,"Gauravv K. Chawla, Samuel Wilde","Saif Ali Khan, Radhika Apte, Chitrangda Singh, Denzil Smith","After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman."
633,Miss Teacher,2016,Romance,,Jayprakkash Shaw,"Kamalika Chanda, Rahul Sharma, Resham Thakkar, Adi Irani","Rose Dey is the new teacher at the university. She is very attractive and is a nymphomaniac. At the university, Rose meets Tanvesh and an affair begins."
634,Raaz,2002,"Drama, Horror, Musical",,Vikram Bhatt,"Dino Morea, Bipasha Basu, Malini Sharma, Ashutosh Rana","Sanjana and Aditya decide to give their marriage one last chance. They plan a holiday in Ooty, but they don't know that a strange figure is waiting for them to come."
635,Nayak: The Real Hero,2001,"Action, Drama, Thriller",,S. Shankar,"Anil Kapoor, Rani Mukerji, Amrish Puri, Paresh Rawal","A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue."
636,Race,2008,"Action, Crime, Drama",,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Saif Ali Khan, Akshaye Khanna, Bipasha Basu, Katrina Kaif",Destiny makes two brothers- Ranvir and Rajiv - enemies of each other. Everything is fair in love and war.
637,Sergeant,2023,"Drama, Thriller",,Prawaal Raman,"Tahirr Aashhraf, Daphne Alexander, Malcolm Davies, Sonia Goswami","Sergeant suffers from severe depression after losing a limb on duty. After meeting Monica, he gains confidence and vows to reclaim his previous life by solving a critical case."
638,Khosla Ka Ghosla!,2006,"Comedy, Crime, Drama",,"Dibakar Banerjee, Pravin E. Birje","Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma",A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.
639,Siya,2022,"Crime, Drama",,Manish Mundra,"Stephen Alexander, Rudra Pratap Singh Chaudhary, Dev Chauhan, Madhvendra Jha","Siya, a 17-year-old rape survivor, decides to go against all odds and fight for justice after being held captive and repeatedly abused by a group of powerful men. Can she win against the perpetrators?"
640,Golmaal 3,2010,"Action, Comedy, Drama",,Rohit Shetty,"Mithun Chakraborty, Ajay Devgn, Kareena Kapoor, Tusshar Kapoor","In Goa, Pritam meets his love Geeta after many years. They decide to get married but the feud between their respective children creates tension in their marriage."
641,Blackmail,2018,"Comedy, Thriller",,Abhinay Deo,"Irrfan Khan, Urmila Matondkar, Divya Dutta, Kirti Kulhari","When Dev finds out his wife is cheating on him, he secretly blackmails his wife and her lover as a form of revenge."
642,Don,1978,"Action, Crime, Thriller",,Chandra Barot,"Amitabh Bachchan, Zeenat Aman, Pran Sikand, Iftekhar","Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang."
643,Baadshaho,2017,"Action, Adventure, Thriller",,Milan Luthria,"Ajay Devgn, Ileana D'Cruz, Emraan Hashmi, Esha Gupta",An Indian queen asks her bodyguard to steal back gold taken from her by the Indian government during The Emergency period in 1975.
644,Babli Bouncer,2022,"Comedy, Drama",,Madhur Bhandarkar,"Tamannaah Bhatia, Sahil Vaid, Karan Singh Chhabra, Abhishek Bajaj","A one-of-a-kind story of a female bouncer, the film follows Babli Bouncer (Tamannaah Bhatia). It explores the various facets of the profession, which is usually dominated by men."
645,Midnight's Children,2012,Drama,,Deepa Mehta,"Rajat Kapoor, Vansh Bhardwaj, Anupam Kher, Neha Mahajan",A pair of children born within moments of India gaining independence from Britain grow up in the country that is nothing like their parents' generation.
646,Rahasya,2015,"Mystery, Thriller",,Manish Gupta,"Kay Kay Menon, Ashish Vidyarthi, Tisca Chopra, Mita Vashisht","A Doctor stands accused of killing his own eighteen-year old daughter. While this aggrieved father protests his innocence, all evidence points towards him irrefutably. While his own wife ...                See full summary »"
647,Love-All,2023,Sport,,Sudhanshu Sharma,"Satyakam Anand, Sumit Arora, Raja Bundela, Robin Das","It is the story of a father, a son, and a sport connecting their destinies. Talent lifts a man towards fame yet destiny had other ideas and challenges to chase passion against all odds."
648,Sarfarosh,1999,"Action, Crime, Drama",,John Mathew Matthan,"Naseeruddin Shah, Aamir Khan, Sonali Bendre, Mukesh Rishi","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
649,Entertainment,2014,"Action, Comedy, Drama",,"Sajid, Farhad Samji","Akshay Kumar, Tamannaah Bhatia, Junior, Krishna Abhishek","Akhil, an underdog and a failure, comes to know that his real father is a rich diamond merchant who has just passed away. When he goes to retrieve his wealth, he learns that a dog has inherited it."
650,Kanguva,2024,"Action, Drama, Fantasy",,Siva,"Suriya, Disha Patani, Yogi Babu, Bobby Deol",Add a Plot
651,Chehre,2021,"Drama, Mystery, Thriller",,Rumi Jaffery,"Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza, Annu Kapoor","An 80-year-old man with a penchant for real life games in a story about rights and wrongs. It's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment."
652,Good Luck Jerry,2022,"Comedy, Crime, Drama",,Siddharth Sen,"Janhvi Kapoor, Jaswant Dalal, Deepak Dobriyal, Mita Vashisht","The film is the official remake of Tamil movie Kolamaavu Kokila, which tells the story of an innocent girl who gets pulled into the notorious world of cocaine smuggling."
653,Kaamyaab,2018,Drama,,Hardik Mehta,"Sanjay Mishra, Deepak Dobriyal, Sarika Singh, Isha Talwar","Sudheer is an actor from the heyday of Bollywood. Years after his retirement, he realizes that he 'retired' on the verge of accomplishing a unique record. He decides to come out of his retirement to complete the round figure of 500."
654,Madhoshi,2004,"Musical, Mystery, Drama",,Tanveer Khan,"Bipasha Basu, John Abraham, Priyanshu Chatterjee, Prakash Bharadwaj",Anupama looses her sister and her husband in 9/11 twin tower attacks and goes in trauma.Three years later she appears to be normal but hasn't come out of the tragedy.Her parents want her to...                See full summary »
655,Housefull,2010,"Comedy, Drama, Romance",,Sajid Khan,"Akshay Kumar, Deepika Padukone, Riteish Deshmukh, Lara Dutta","Believing himself to be jinxed, a man attempts to find true love, but instead gets caught in a web of lies."
656,Mardaani 2,2019,"Action, Crime, Drama",,Gopi Puthran,"Rani Mukerji, Avneet Kaur, Sunny Hinduja, Shruti Bapna",A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?
657,Toolsidas Junior,2022,"Drama, Family, Sport",,Mridul Toolsidas,"Sanjay Dutt, Rajeev Kapoor, Varun Buddhadev, Ankur Vikal","Watching his father lose the 1994 Club Snooker Championship, 13-year-old Midi takes on the impossible journey to bring his father's name on the Winner's Board."
658,Love Sonia,2018,Drama,,Tabrez Noorani,"Abhishek Bharate, Riya Sisodiya, Mrunal Thakur, Adil Hussain","Inspired by real life events, Love Sonia is the story of a young girl's journey to rescue her sister from the dangerous world of international sex trafficking."
659,Hate Story 3,2015,"Drama, Thriller",,Vishal Pandya,"Sharman Joshi, Karan Singh Grover, Zareen Khan, Daisy Shah",Siya appears to be the bone of contention between warring businessmen Aditya and Saurav. But this one runs deeper than your average love triangle.
660,Looop Lapeta,2022,"Action, Comedy, Crime",,Aakash Bhatia,"Taapsee Pannu, Tahir Raj Bhasin, Dibyendu Bhattacharya, K.C. Shankar","When her boyfriend loses a mobster's cash, Savi races against the clock to save the day if only she can break out of a curious cycle of dead ends."
661,Mumbai Saga,2021,"Action, Crime",,Sanjay Gupta,"John Abraham, Emraan Hashmi, Mahesh Manjrekar, Suniel Shetty",The plot of the movie is set in the era of the 80s and 90s which were marked as a transformed period of Mumbai.
662,Pardes,1997,"Drama, Musical, Romance",,Subhash Ghai,"Shah Rukh Khan, Mahima Chaudhry, Amrish Puri, Apurva Agnihotri","Kishorilal wants an Indian bride for his westernised son. He gets him engaged to Ganga, his friend's daughter, and brings her to USA. But she shares a deeper bond with Arjun, Kishorilal's foster son."
663,Kaante,2002,"Action, Crime, Drama",,Sanjay Gupta,"Amitabh Bachchan, Sanjay Dutt, Suniel Shetty, Mahesh Manjrekar",Six bank robbers trying to pull off the perfect heist discover one of them is an undercover cop.
664,The Hungry,2017,Drama,,Bornila Chatterjee,"Naseeruddin Shah, Tisca Chopra, Neeraj Kabi, Antonio Aakeel","An adaptation of William Shakespeare's Titus Andronicus set in contemporary New Delhi. The Hungry is a contemporary retelling of Shakespearian tragedy Titus Andronicus, set in the ...                See full summary »"
665,Kabzaa,2023,"Action, Crime, Thriller",,"R. Chandru, Shivu Hiremath, Soori","Upendra, Sudeep, Shriya Saran, Shivarajkumar","In 1947 a Gandhi follower and a freedom fighter were brutally attacked. Due to unavoidable circumstances, the freedom fighter son gets trapped in the mafia world and the story revolves between 1942 to 1986."
666,Forensic,2022,"Crime, Thriller",,Vishal Furia,"Radhika Apte, Vikrant Massey, Prachi Desai, Anant Mahadevan",A female police officer in the small hill town of Mussorie and a forensic expert are together on the trail of a serial killer.
667,Shootout at Lokhandwala,2007,"Action, Crime, History",,Apoorva Lakhia,"Amitabh Bachchan, Sanjay Dutt, Suniel Shetty, Arbaaz Khan","An account of the gangster Mahindra Dolas and his gang, which terrorized Mumbai City, and a massive war between Mumbai Police and gangs during 16 November 1991."
668,Double XL,2022,"Comedy, Drama",,Satram Ramani,"Sonakshi Sinha, Huma Qureshi, Zaheer Iqbal, Mahat Raghavendra",The journey of two plus-size women Rajshree Trivedi from Meerut and Saira Khanna from New Delhi as they navigate society's beauty standards.
669,Phone Bhoot,2022,"Comedy, Horror",,Gurmmeet Singh,"Katrina Kaif, Ishaan Khattar, Siddhant Chaturvedi, Jackie Shroff","A ghost reaches out to two bumbling ghostbusters for a business idea. However, their plans go downhill as the eerie ghost reveals her plan."
670,Cadaver,2022,"Crime, Drama, Mystery",,Anoop Panicker,"Amala Paul, Riythvika Panneerselvam, Munishkanth, Harish Uthaman",A high profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will the police surgeon Bhadra crack this mystery?
671,Bombay Talkies,2013,Drama,,"Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap","Rani Mukerji, Randeep Hooda, Saqib Saleem, Nawazuddin Siddiqui",One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.
672,Almost Pyaar with DJ Mohabbat,2022,"Drama, Musical, Romance",,Anurag Kashyap,"Alaya F, Karan Mehta, Vicky Kaushal, Sapna Pabbi","In London, a girl likes a boy, a little too much. And, in a parallel universe exists a boy that likes a girl. The two unrequited love stories, burdened by social status, caste and inequality are breathlessly, heading on towards each other."
673,Oh! Baby,2019,"Comedy, Drama, Fantasy",,B.V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendra Prasad, Teja Sajja",A 70-year-old woman is given a second chance to relive her youth when she turns into a 24-year-old girl.
674,Rashmi Rocket,2021,"Drama, Sport",,Akarsh Khurana,"Taapsee Pannu, Priyanshu Painyuli, Abhishek Banerjee, Supriya Pathak","A small-town girl overcomes all societal barriers to become a national-level athlete, but her glory is hindered when she is asked to undergo a gender test."
675,Pyaar Kiya To Darna Kya,1998,"Action, Comedy, Drama",,Sohail Khan,"Salman Khan, Kajol, Arbaaz Khan, Anjala Zaveri","When Vishal does not agree of Suraj and Muskaan's relationship, Suraj decides to win Vishal's heart for marrying Muskaan."
676,The Tashkent Files,2019,"Drama, Mystery, Thriller",,Vivek Agnihotri,"Shweta Basu Prasad, Mithun Chakraborty, Naseeruddin Shah, Pankaj Tripathi","Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated."
677,Mulk,2018,Drama,,Anubhav Sinha,"Taapsee Pannu, Rishi Kapoor, Neena Gupta, Ashutosh Rana",One family member tries to help her own family when they are trapped in a dark controversy.
678,Dabangg 2,2012,"Action, Comedy, Crime",,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Prakash Raj, Vinod Khanna",Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.
679,Romeo Akbar Walter,2019,"Action, Drama, Thriller",,Robbie Grewal,"John Abraham, Mouni Roy, Jackie Shroff, Gyanendra Tripathi","Prior to the India-Pakistan war of 1971, an Indian banker is recruited by the Research and Analysis Wing for a covert operation deep inside Pakistan."
680,DAMaN,2022,"Adventure, Drama",,"Lenka Debiprasad, Vishal Mourya","Karan Kandhapan, Babushan Mohanty, Dipanwit Dashmohapatra, Manaswani Takri","The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication."
681,Dil Bole Hadippa!,2009,"Comedy, Drama, Romance",,Anurag Singh,"Shahid Kapoor, Rani Mukerji, Anupam Kher, Dalip Tahil","In a village where girls don't play cricket, Veera puts on a turban and beard and becomes Veer to fulfill her dreams and meets Rohan. And fun begins."
682,Buddha in a Traffic Jam,2016,"Crime, Thriller",,Vivek Agnihotri,"Anupam Kher, Anchal Dwivedi, Mahie Gill, Pallavi Joshi","Vikram, a carefree management student, finds himself entangled in web of conspiracy, lies, and deceit when he launches a successful social media campaign to highlight the plight of the poor in India."
683,The Purvanchal Files,2023,Action,,Swarup Ghosh,"R . Siddharth, Shivani Thakur, Zarina Wahab, Govind Namdeo",A cop story of revenge and how he tries to purify the police system in Purvanchal .
684,800,2023,"Biography, Sport",,M.S. Sripathy,"Nassar, Madhur Mittal, Narain, Mahima Nambiar",Biopic Of Legendary Sri Lankan Cricketer Muttiah Muralitharan.
685,Blind,2023,"Crime, Drama, Thriller",,Shome Makhija,"Sonam Kapoor, Lucy Aarden, Danesh Razvi, Shubham Saraf","When a twist of fate leaves Gia blind, she must summon every ounce of courage to rebuild her life. But when she becomes the sole witness to a heinous crime, she unwittingly enters a deadly game of cat and mouse with a dangerous criminal."
686,Love Aaj Kal,2009,"Comedy, Drama, Romance",,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna",An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?
687,Har Dil Jo Pyar Karega...,2000,"Comedy, Drama, Musical",,Raj Kanwar,"Salman Khan, Preity G Zinta, Rani Mukerji, Rajeev Verma",Raj is a struggling singer with big dreams who is still waiting for his big break. One night he witnesses an accident where a car spins out of control and lands on the tracks of an ...                See full summary »
688,Ankhon Dekhi,2013,"Comedy, Drama",,Rajat Kapoor,"Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
689,Joram,2023,"Action, Adventure, Crime",,Devashish Makhija,"Mohd. Zeeshan Ayyub, Manoj Bajpayee, Tannishtha Chatterjee, Rajshri Deshpande",It follows a father who is on the run with his little baby girl to escape the ghosts of his past and the forces that want him dead.
690,Ardh,2022,"Drama, Romance",,Palash Muchal,"Rajpal Naurang Yadav, Rubina Dilaik, Hiten Tejwani, Swastik Tiwari","Shiva struggles to become a mainstream actor in Mumbai despite being a theatre actor. With the help of his wife Madhu, he disguises himself as a transgender and begs for money to survive."
691,Khoobsurat,2014,"Comedy, Romance",,Shashanka Ghosh,"Sonam Kapoor, Fawad Khan, Ratna Pathak Shah, Kirron Kher",A hopelessly romantic physiotherapist meets a handsome young Rajput prince who is the complete opposite of her and engaged to someone else.
692,Bachchhan Paandey,2022,"Action, Comedy, Crime",,Farhad Samji,"Akshay Kumar, Kriti Sanon, Jacqueline Fernandez, Pankaj Tripathi","When a struggling filmmaker and actor set out to make a biography on one of the most dreaded gangsters, they have little idea about just how crazy and dangerous it's going to be."
693,Border,1997,"Action, Drama, History",,J.P. Dutta,"Sunny Deol, Suniel Shetty, Akshaye Khanna, Jackie Shroff","In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force."
694,Hichki,2018,"Comedy, Drama",,Malhotra P. Siddharth,"Rani Mukerji, Naisha Khanna, Neeraj Kabi, Rohit Saraf","Suffering from Tourette Syndrome, Naina gets assigned a class of defiant students and must ensure that her students realise their potential."
695,Rangoon,2017,"Action, Drama, History",,Vishal Bhardwaj,"Kangana Ranaut, Shahid Kapoor, Saif Ali Khan, Manav Vij","Julia travels to the Indo-Burma border to perform for the troops during World War II on the insistence of her lover Billimoria, and ends up falling in love with a soldier there, Jemadar."
696,Ujda Chaman,2019,Comedy,,Abhishek Pathak,"Sunny Singh, Maanvi Gagroo, Karishma Sharma, Gagan Arora",Chaman Kohli is 30 -year-old bachelor with Premature Balding and in quest of a beautiful wife. Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever.
697,Arth,1982,"Drama, Romance",,Mahesh Bhatt,"Shabana Azmi, Kulbhushan Kharbanda, Smita Patil, Raj Kiran",A film-maker who is having an extra-marital affair with an actress decides to leave his wife. Arth is the story of this women's search for her identity.
698,Mohra,1994,"Action, Drama, Thriller",,Rajiv Rai,"Akshay Kumar, Suniel Shetty, Raveena Tandon, Naseeruddin Shah","A journalist comes to the aid of a murderer with a life sentence when she makes an appeal in court and although he is given his freedom, they soon discover that there is a grim reason behind his release."
699,Untitled Soorarai Pottru remake,2024,"Action, Drama",,Sudha Kongara,"Akshay Kumar, Radhika Madan, Paresh Rawal, R. Sarathkumar","Inspired by real-life events, follows the journey of a man as he sets out to make air travel more accessible and overcomes challenges of the highly capital-intensive aviation industry, with a unwavering determination."
700,Dishoom,2016,"Action, Adventure, Comedy",,Rohit Dhawan,"John Abraham, Varun Dhawan, Jacqueline Fernandez, Akshaye Khanna","When India's top batsman goes missing in the Middle East, two mismatched cops must team up for a 36-hour manhunt before the cricket final."
701,Aankh Micholi,2023,"Comedy, Family",,Umesh Shukla,"Paresh Rawal, Sharman Joshi, Abhimanyu Dasani, Mrunal Thakur",A family of misfits is trying to hide some secrets from the NRI suitor and his family as they want their daughter to get married to a well-to-do NRI guy. Then a series of comical twists and turns.
702,Aashiq Banaya Aapne: Love Takes Over,2005,"Drama, Romance, Thriller",,Aditya Datt,"Emraan Hashmi, Tanushree Dutta, Sonu Sood, Preeti Ganguli","An introvert is unable to express his feelings to the girl he loves. His friend proposes to her and she accepts, but leaves him when she discovers he is a flirt; however, destiny has other plans."
703,Golmaal Returns,2008,"Comedy, Crime, Mystery",,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Tusshar Kapoor","A man is sandwiched between his over possessive wife and a police inspector, where he is suspected for adultery and murder."
704,Kaalakaandi,2018,"Comedy, Thriller",,Akshat Verma,"Saif Ali Khan, Asif Basra, Neil Bhoopalam, Ankit Bisht","Focusing on life, death and karma, this dark comedy follows three parallel tracks - a man who discovers that he is a terminally ill, a woman seeking redemption and two goons with major trust issues."
705,Hanuman,2005,Animation,,"V.G. Samant, Milind Ukey","Mukesh Khanna, Viraj, Mona Shetty, Sumeet Pathak","This animated movie depicts Hanuman's life from birth. The narrator is actor Mukesh Khanna. The movie relays how Hanuman was born to Anjani a female Apsara and Kesari, by the blessings of Vayu-Dev, the Wind God."
706,Tariq,2023,"Action, Drama, Thriller",,Arun Gopalan,"John Abraham, Rukmini Maitra, Gajala, Sujith Shanker",Plot under wraps.
707,Maine Pyar Kiya,1989,"Drama, Musical, Romance",,Sooraj R. Barjatya,"Salman Khan, Bhagyashree Patwardhan, Alok Nath, Rajeev Verma","After Suman's father leaves her in the care of another family while he travels abroad, she falls in love with Prem. However, in order to for them to marry, Prem has to prove to Suman's father that he is not the same as his own dad."
708,Court,2014,Drama,,Chaitanya Tamhane,"Vira Sathidar, Vivek Gomber, Geetanjali Kulkarni, Pradeep Joshi","When an aging activist is arrested, the lives of the accused, the lawyers, and the judge intertwine to reveal bigotry that underscores the judicial system."
709,Chhalaang,2020,"Comedy, Drama, Sport",,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuccha, Mohd. Zeeshan Ayyub, Saurabh Shukla",Chhalaang is a hilarious yet inspiring journey by Montu.
710,Street Dancer 3D,2020,"Drama, Music",,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor, Prabhu Deva, Nora Fatehi","Two rival dance groups from India and Pakistan who are always competing against each other, join forces when it comes to competing at an international dance competition."
711,Jhund,2022,"Biography, Drama, Sport",,Nagraj Manjule,"Amitabh Bachchan, Ankush Gedam, Babu Kshatriya, Jerico Robert","Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team."
712,U-Turn,2018,"Crime, Horror, Mystery",,Pawan Kumar,"Samantha Ruth Prabhu, Aadhi, Bhoomika Chawla, Rahul Ravindran","When a flyover in the city becomes the hotbed of accidents, a young reporter decides to investigate the issue. Her quest for an answer leads her into a web of intrigue, murder and mystery."
713,Thalaivi,2021,"Biography, Drama",,A.L. Vijay,"Kangana Ranaut, Arvind Swami, Nassar, Samuthirakani",A biopic on the late Tamil Nadu Chief Minister J Jayalalithaa.
714,Hum Saath-Saath Hain,1999,"Drama, Musical",,Sooraj R. Barjatya,"Mohnish Behl, Salman Khan, Saif Ali Khan, Tabu","Ramkishen and Mamta have three sons Vivek , Prem and Vinod and a daughter Sangeeta. This family is part of a joint family whose close knit bond is challenged by a misunderstanding."
715,Kedarnath,2018,"Drama, Romance",,Abhishek Kapoor,"Sushant Singh Rajput, Sara Ali Khan, Nitish Bharadwaj, Alka Amin","Mansoor, a reserved and reticent Pithoo, helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love."
716,Raajneeti,2010,"Crime, Drama, Thriller",,Prakash Jha,"Ajay Devgn, Ranbir Kapoor, Nana Patekar, Katrina Kaif","Samar, the son of a political family, has chosen to go to the USA to live with his girlfriend. However, the death of his father makes him put his plans on hold and enter the dirty world of politics."
717,Mission Mangal,2019,"Drama, History",,Jagan Shakti,"Akshay Kumar, Vidya Balan, Taapsee Pannu, Sonakshi Sinha","Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars."
718,Maja Ma,2022,"Comedy, Drama",,Anand Tiwari,"Madhuri Dixit, Ritwik Bhowmik, Barkha Singh, Gajraj Rao","A rumor about Pallavi Patel, a quintessential, middle aged, devoted housewife who is famous for her dance and cooking, threatens to disrupt her middle-class family's ethos, on the eve of her son Tejas' engagement with a rich, NRI girl."
719,Paa,2009,"Comedy, Drama",,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal",A father tries to help his son cope with a rare condition that causes the young boy to age beyond his years.
720,Maachis,1996,"Action, Crime, Drama",,Gulzar,"Om Puri, Tabu, Chandrachur Singh, Kanwaljeet Singh","A realistic, hard-hitting portrayal of terrorism and youth in the Punjab after the 1984 riots."
721,The Intern,V,"Comedy, Drama, Thriller",,Amit Ravindernath Sharma,"Deepika Padukone, Amitabh Bachchan, Neena Gupta",The Indian adaptation of The Intern (2015).
722,Panipat,2019,"Action, Drama, History",,Ashutosh Gowariker,"Arjun Kapoor, Sanjay Dutt, Kriti Sanon, Mohnish Behl","The Great Betrayal is a War Epic set in 1761, when Sadashiv Rao Bhau Peshwa led the Maratha army to the north of India to repel the invading forces of Ahmad Shah Abdali, the King of Afghanistan."
723,One 2 Ka 4,2001,"Action, Crime, Drama",,Shashilal K. Nair,"Shah Rukh Khan, Jackie Shroff, Juhi Chawla, Nirmal Pandey","When a cop's partner is killed in the line of duty, he assumed guardianship of his orphaned children while investigating the murder."
724,Titli,2014,"Action, Crime, Drama",,Kanu Behl,"Shashank Arora, Ranvir Shorey, Shivani Raghuvanshi, Amit Sial","Titli, the youngest member of a car-jacking brotherhood wants to escape the family business. He and his wife form a pact to set free from their family roots. But is escape possible?"
725,Monsoon Shootout,2013,"Action, Crime, Drama",,Amit Kumar,"Vijay Varma, Nawazuddin Siddiqui, Neeraj Kabi, Geetanjali Thapa","As heavy rains lash Mumbai, a cop on his first assignment faces a life altering decision when he must decide whether to shoot a suspect or not."
726,Jolly LLB,2013,"Comedy, Crime, Drama",,Subhash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla","Wanting to earn fame and fortune, a small time lawyer files a PIL for an infamous hit-and-run, and thus learns what it really is like to be a lawyer."
727,Kaal,2005,"Adventure, Horror, Mystery",,Soham Shah,"Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta","A tiger expert, his wife, two tourists and a village chief engage in a battle for survival against supernatural beasts within Jim Corbett National Wildlife Park."
728,Hum Aapke Hain Koun..!,1994,"Comedy, Drama, Musical",,Sooraj R. Barjatya,"Madhuri Dixit, Salman Khan, Mohnish Behl, Renuka Shahane","Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby."
729,Kadvi Hawa,2017,Drama,,Nila Madhab Panda,"Sanjay Mishra, Ranvir Shorey, Tillotama Shome, Bhupesh Singh","Story of a farmer and a bank recovery agent, whose lives are impacted by climate change. Both are willing to go to any length for the sake of their family. What does fate have in store for them?"
730,Daddy,2017,"Action, Biography, Crime",,Ashim Ahluwalia,"Arjun Rampal, Aishwarya Rajesh, Nishikant Kamat, Rajesh Shringarpure","Spanning the 1970s and 1980s, this is the sensational true story of Arun Gawli, who grew up in Mumbai's impoverished Dagdi Chawl, to become a dreaded don, politician, and rival of India's most powerful crime boss, Dawood Ibrahim."
731,36 China Town,2006,"Comedy, Mystery, Thriller",,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Akshaye Khanna, Shahid Kapoor, Kareena Kapoor, Paresh Rawal","A wealthy casino owner is murdered in her mansion at 36, China Town and the investigating detective uncovers multiple suspects, all with independent motives to commit the crime."
732,Shool,1999,"Action, Crime, Drama",,Eeshwar Nivas,"Manoj Bajpayee, Raveena Tandon, Sayaji Shinde, Yashpal Sharma","A tale of an honest cop set against the backdrop of the brutal, lawless system prevailing in the Indian state of Bihar, and the endless suffering he tolerates before all hell breaks loose."
733,Dharam Sankat Mein,2015,Comedy,,Fuwad Khan,"Naseeruddin Shah, Paresh Rawal, Annu Kapoor, Gagan Gupta","At the age of 55, a Hindu man discovers that he was born Muslim and adopted by a Hindu family."
734,Class of 83,2020,"Action, Crime, Drama",,Atul Sabharwal,"Bobby Deol, Anup Soni, Joy Sengupta, Hitesh Bhojraj",The story of an upright policeman-turned-trainer whose wards deal with various complexities.
