,movie_name,year,genre,Poster_url,director,cast,overview
1869,Pokhar Ke Dunu Paar,2022,Drama,,Parth Saurabh,"Abhinav Jha, Tanaya Khan Jha, Dheeraj Kumar, Sheelnidhi","Amidst the 2020 Coronavirus Pandemic, Sumit and Priyanka, an eloped couple, return to the security of their hometown. While Priyanka feels uneasy in the suffocating familiarity of her town, Sumit immerses himself in his tribe of friends."
1870,Wonder Women,2022,Drama,,Anjali Menon,"Nadia Moidu, Nithya Menen, Parvathy Thiruvothu, Padmapriya","Narrates the story of six pregnant women, who arrive at a prenatal class with beliefs, confusion, and questions regarding pregnancy and childbirth."
1871,"Gallit Gondhal, Dillit Mujra",2009,Comedy,,Nagesh Bhonsle,"Makarand Anaspure, Suzanne Bernert, Nagesh Bhonsle, Ramchandra Dhumal","Kolsewadi has never seen any progress in the village, thanks to the bickering and fights between MLA Chandrakant Tope and Sarpanch Bajirao Dole. Narayan Wagh, a villager, makes the most of ...                See full summary »"
1872,Gol Maal,1979,"Comedy, Romance",,Hrishikesh Mukherjee,"Amol Palekar, Bindiya Goswami, Deven Verma, Shobha Khote",A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.
1873,Kabhie Kabhie,1976,"Drama, Romance",,Yash Chopra,"Amitabh Bachchan, Shashi Kapoor, Rakhee Gulzar, Waheeda Rehman",Kabhi Kabhie is a movie about the love story of generations and how a chain of events brings together old lovers as friends.
1874,Mystery of the Tattoo,2023,Thriller,,Kalaiarasi Sathappan,"Rohit Raaj, Arjun Rampal, Daisy Shah, Manoj Joshi","An art student/therapist befriends her new neighbor. Soon after which she starts experiencing deadly psychological and hallucinating events, only to realize later that they were all a set-up by her neighbor to apprehend an old killer."
1875,Dhoomam,2023,"Action, Adventure, Drama",,Pawan Kumar,"Fahadh Faasil, Roshan Mathew, Aparna Balamurali, Achyuth Kumar","Avinash wants to quit his marketing job at a top cigarette company, but it comes with consequences."
1876,Karma,1986,"Action, Adventure, Drama",,Subhash Ghai,"Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff",The BSO is a British oriented group who wants to take control of India. When senior police inspector Vishwa Pratap Singh arrests there leader Dr. Michael Dang the authorities blast the jail...                See full summary »
1877,Satyam Shivam Sundaram: Love Sublime,1978,"Drama, Musical, Romance",,Raj Kapoor,"Shashi Kapoor, Zeenat Aman, Kanhaiyalal Chaturvedi, A.K. Hangal","Rupa (Zeenat Aman) grew up being cursed as ""unlucky"" in her birth village. Her mother died during childbirth, then a kitchen accident leaves half her face disfigured. This is an artistic ...                See full summary »"
1878,Chandni,1989,"Drama, Musical, Romance",,Yash Chopra,"Sridevi, Rishi Kapoor, Vinod Khanna, Waheeda Rehman",Fate leaves Chandni shattered as her love Rohit disappears from her life. She meets Lalit and they befriend each other until Rohit knocks on her door.
1879,Colour Photo,2020,Drama,,Sandeep Raj,"Suhas, Chandini Chowdary, Sunil, Harsha Chemudu",A tragic-comedy that is set in the 90s between two different personalities coming from different backgrounds that change their lives in a tale of love.
1880,Bhouri,2016,Drama,,"Jasbir Bhaati, Jasbir R Bhati","Raghubir Yadav, Masha Pour, Kunika Sadanand, Vicky Ahuja","A tragic love story of Bhouri, a 23-year old who is married to a 55-year old, the film highlights the exploitation of women in male dominated society."
1881,Yamla Pagla Deewana Phir Se...,2018,"Action, Comedy, Drama",,Navaniat Singh,"Dharmendra, Sunny Deol, Bobby Deol, Kriti Kharbanda",An upright Ayurveda practitioner is hounded by big pharmacy giants for his age-old formula that cures everything.
1882,Katti Batti,2015,"Comedy, Drama, Romance",,Nikkhil Advani,"Imran Khan, Kangana Ranaut, Abhishek Saha, Suhaas Ahuja",A romantic comedy that follows Maddy and Payal's live-in relationship until a sudden turn of events creates a distance between them.
1883,Chidiakhana,2023,"Drama, Sport",,Manish Tiwary,"Ritvik Sahore, Avneet Kaur, Rajeshwari Sachdev, Prashant Narayanan","It is a coming-of-age story of a Bihari boy who is embraced by residents of a Marathi Chawl due to his grit, imagination and especially his footballing skills."
1884,Hari Singh Nalwa - Champion of the Khalsa Ji,2022,Biography,,Manish Tiwary,"Ritvik Sahore, Avneet Kaur, Rajeshwari Sachdev, Prashant Narayanan",Add a Plot
1885,I See You,2006,"Comedy, Drama, Fantasy",,Vivek b Agrawal,"Arjun Rampal, Vipasha Agarwal, Chunky Pandey, Boman Irani","Dr. Shivani Dutt lives a wealthy lifestyle in London, England with her widowed mom and a dog named Kaali. She works at the Thomwell Hospital. One day she notices that some of her fellow ...                See full summary »"
1886,Mirch Masala,1986,"Drama, Thriller",,Ketan Mehta,"Smita Patil, Naseeruddin Shah, Om Puri, Ratna Pathak Shah","In colonial India, subedars (tax collectors) went from village to village with soldiers, often demanding more than taxes. A subedar commands Sonbai, a beautiful and confident woman whose ...                See full summary »"
1887,Khilona,1996,"Drama, Romance",,Deepak Pawar,"Aditya Pancholi, Shakti Kapoor, Mohan Joshi, Monica Bedi","After being double crossed by his boss Dabla, Rajkumar takes revenge on him and becomes the ruling Don of the city. His arch enemy, Ronny, carries out several attacks towards him but fails ...                See full summary »"
1888,Gharwali Baharwali,1998,Comedy,,David Dhawan,"Anil Kapoor, Raveena Tandon, Rambha, Satish Kaushik","On discovery of his spouse's infertility, a man starts a search for a new wife."
1889,Saat Uchakkey,2016,Comedy,,Sanjeev Sharma,"Manoj Bajpayee, Vijay Raaz, Aditi Sharma, Annu Kapoor","SAAT UCHAKKEY is a comedy caper about 7 petty crooks blundering their way through an exciting gamut of mystery, greed, treachery and running into one riotous crisis after another. Set ...                See full summary »"
1890,Anamika,1973,"Mystery, Romance, Musical",,Raghunath Jhalani,"Sanjeev Kumar, Jaya Bachchan, Iftekhar, Govardhan Asrani","A writer rescues a young woman lying injured on the road. She awakens with amnesia, but insists that she is the writer's wife. Is she the victim or the perpetrator of a devious plot?"
1891,Weapon,,"Action, Sci-Fi, Thriller",,Guhan Senniappan,"Vasanth Ravi, Shiyas Kareem, Sathyaraj, Tanya Hope",Add a Plot
1892,Collar Bomb,2021,"Action, Thriller",,Dnyanesh Zoting,"Jimmy Shergill, Sparsh Srivastav, Rajshri Deshpande, Asha Negi","A glorified cop's life is thrown into chaos as he is forced to commit a series of crimes before a suicide bomber blows up a school. As he races against time, he's confronted by an evil that is hell-bent on striking raw, primal terror."
1893,Haqeeqat,1964,"Action, Musical, War",,Chetan Anand,"Balraj Sahni, Dharmendra, Vijay Anand, Indrani Mukherjee",A platoon of Indian soldiers encounters harsh realities while fighting in the Sino-Indian War of 1962.
1894,Rajnigandha,1974,"Drama, Romance",,Basu Chatterjee,"Vidya Sinha, Amol Palekar, Dinesh Thakur, Rajeeta Kochhar",A Delhi-based woman in a steady relationship with her boyfriend is forced to come to terms with her true feelings when a job interview in Mumbai brings an old flame back in her life.
1895,Party,1984,Drama,,Govind Nihalani,"Deepa Sahi, Ila Arun, Raju Barot, Mohan Bhandari",A planned social gathering is held to commemorate Divakar Barve for the award he receive pertaining his contributions to Indian Arts and films. The social event is greeted by some important...                See full summary »
1896,Ek Ladka Ek Ladki,1992,"Comedy, Romance",,Vijay Sadanah,"Salman Khan, Neelam Kothari, Anupam Kher, Govardhan Asrani","An arrogant heiress becomes amnesiac after her greedy uncle attempts to kill her. A hard-working farmer, who bears a grudge against her, impersonates her husband and brings her to his home as revenge."
1897,Parzania,2005,"Drama, History",,Rahul Dholakia,"Naseeruddin Shah, Corin Nemec, Sarika Thakur, Parzaan Dastur","A parsi family struggles to find thier son in a genocide carried out by vested interests outfits during 2002, commonly known as Gujarat riots which broke out after the Godhra Train Burning incident. During riots more than 790 Muslim and 289 Hindus died and around 300 people missing in the Indian state of Gujarat."
1898,Vodka Diaries,2018,"Mystery, Thriller",,Kushal Srivastava,"Kay Kay Menon, Raima Sen, Mandira Bedi, Sharib Hashmi","In the misty town of Manali, ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night, which might be connected to the night club, Vodka Diaries."
1899,Phool Khile Hain Gulshan Gulshan,1978,"Drama, Family",,Sikandar Khanna,"Rishi Kapoor, Moushumi Chatterjee, Ashok Kumar, Amjad Khan","Aware that his grandson has acquired all the bad habits of a rich and spoiled brat, including womanizing and alcohol, Lala Ganpat Rai, instructs his lawyers to make it conditional that he, ...                See full summary »"
1900,Meri Biwi Ka Jawab Nahin,2004,"Action, Comedy, Romance",,"Pankaj Parashar, S.M. Iqbal","Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde",Ajay gets married to his childhood friend Durga; who is illiterate unable to differentiate between the style of these days and that of long time ago. When Ajay is given the post as police ...                See full summary »
1901,Undertrial,2007,"Crime, Drama",,Aziz Khan,"Rajpal Naurang Yadav, Kader Khan, Prem Chopra, Pratima Kazmi","Sagar Hussain, a factory worker, is falsely accused of and imprisoned for raping his own daughters. Later, when his lawyer digs deeper, the truth reveals itself to be much worse than imagined."
1902,Agni Sakshi,1996,"Drama, Musical, Romance",,Partho Ghosh,"Jackie Shroff, Nana Patekar, Manisha Koirala, Divya Dutta",Newly married Suraj and Shivangi are on honeymoon where they meet Vishwanath - who claims that Shivangi is his wife.
1903,Suryaa: An Awakening,1989,"Action, Drama",,Esmayeel Shroff,"Raaj Kumar, Vinod Khanna, Raj Babbar, Bhanupriya",Shikarpur is ruled by Gangadhar Chaudhary whose known to grab lands of poor farmers and kill them if they don't agree one such victim of his crime is Veer Singh who gets killed leaving his ...                See full summary »
1904,...Aur Pyaar Ho Gaya,1997,"Comedy, Drama, Musical",,Rahul Rawail,"Bobby Deol, Aishwarya Rai Bachchan, Shammi Kapoor, Anupam Kher","Grandpa and Grandma Kapoor live a wealthy life-style with their only widower son, Kailashnath and his daughter Ashi who is of marriage-able age. Kailashnath arranges his daughter's marriage...                See full summary »"
1905,Fever,2016,"Crime, Mystery",,Rajeev Jhaveri,"Rajeev Khandelwal, Gauahar Khan, Gemma Atkinson, Ankita Makwana","An assassin loses his memory in an accident. He wakes up knowing only his name, and a subconscious memory of a crime he has committed."
